Loaded 844 biological neurons from model/best_params.pickle (bin_size=20, activation_bin_size=20, evr>0.7).
Launching 15 task(s) with 7 worker(s): ['cuda:0', 'cuda:1', 'cuda:2', 'cuda:4', 'cuda:5', 'cuda:6', 'cuda:7']
Started random run 2 | seed=1235 | device=cuda:1 | trainable_params=22538 | total_params=23184
Epoch 020/300 | train_loss=271.5392 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 022/300 | train_loss=11.9874 | train_acc=0.9713 | test_loss=2.6444 | test_acc=0.8652
Epoch 022/300 | train_loss=17.6261 | train_acc=0.9569 | test_loss=3.5898 | test_acc=0.6380
Epoch 022/300 | train_loss=17.6824 | train_acc=0.9566 | test_loss=3.1487 | test_acc=0.7940
Epoch 022/300 | train_loss=14.3846 | train_acc=0.9653 | test_loss=3.2706 | test_acc=0.6708
Epoch 025/300 | train_loss=11.5498 | train_acc=0.9722 | test_loss=2.3994 | test_acc=0.8674
Epoch 022/300 | train_loss=271.5485 | train_acc=0.1124 | test_loss=46.0195 | test_acc=0.1135
Epoch 021/300 | train_loss=271.5434 | train_acc=0.1124 | test_loss=46.0189 | test_acc=0.1135
Epoch 023/300 | train_loss=11.8563 | train_acc=0.9711 | test_loss=2.7417 | test_acc=0.8638
Epoch 023/300 | train_loss=16.5451 | train_acc=0.9595 | test_loss=3.1211 | test_acc=0.6933
Epoch 023/300 | train_loss=14.2392 | train_acc=0.9657 | test_loss=2.7327 | test_acc=0.7265
Epoch 026/300 | train_loss=10.6321 | train_acc=0.9737 | test_loss=2.3251 | test_acc=0.8718
Epoch 023/300 | train_loss=16.6402 | train_acc=0.9593 | test_loss=3.2100 | test_acc=0.7894
Epoch 023/300 | train_loss=271.5427 | train_acc=0.1124 | test_loss=46.0197 | test_acc=0.1135
Epoch 024/300 | train_loss=11.4103 | train_acc=0.9725 | test_loss=2.2026 | test_acc=0.8389
Epoch 022/300 | train_loss=271.5453 | train_acc=0.1124 | test_loss=46.0190 | test_acc=0.1135
Epoch 024/300 | train_loss=15.9894 | train_acc=0.9607 | test_loss=3.3139 | test_acc=0.7476
Epoch 027/300 | train_loss=10.6011 | train_acc=0.9742 | test_loss=2.3325 | test_acc=0.8863
Epoch 024/300 | train_loss=14.2162 | train_acc=0.9648 | test_loss=2.5096 | test_acc=0.7006
Epoch 024/300 | train_loss=271.5408 | train_acc=0.1124 | test_loss=46.0196 | test_acc=0.1135
Epoch 024/300 | train_loss=16.4926 | train_acc=0.9595 | test_loss=3.4926 | test_acc=0.7429
Epoch 025/300 | train_loss=10.6727 | train_acc=0.9742 | test_loss=2.4579 | test_acc=0.8255
Epoch 023/300 | train_loss=271.5414 | train_acc=0.1124 | test_loss=46.0196 | test_acc=0.1135
Epoch 025/300 | train_loss=15.6950 | train_acc=0.9618 | test_loss=3.4687 | test_acc=0.5961
